Tipo,Habitaciones,Ba�os,Area,Barrio,Valor
Apartamento,3,2,50,Puente Aranda,125000000
Apartamento,3,2,76,Hayuelos,400000000
Apartamento,1,2,53,Teusaquillo,310000000
Apartamento,3,2,70,Zona Noroccidental,287000000
Apartamento,3,3,122,Cedritos,516000000
Casa,3,2,114,Usaquén,416000000
Apartamento,2,1,44,Zona Noroccidental,144000000
Apartamento,1,1,29,Teusaquillo,192000000
Apartamento,3,2,66,El Plan,290000000
Apartamento,2,1,45,Bosa,121500000
Apartamento,3,2,75,Engativa,413500000
Apartamento,3,2,100,Teusaquillo,570000000
Apartamento,2,1,60,San Cristobal,110000000
Apartamento,2,2,68,Nicolas De Federman,508000000
Apartamento,3,1,47,Bogotá DC,124000000
Apartamento,2,1,45,Castilla,185000000
Apartamento,2,2,71,Engativa,290000000
Apartamento,3,3,116,Cedritos,495000000
Apartamento,3,3,138,Santa Barbara,750000000
Apartamento,2,2,52,Marly,327000000
Apartamento,2,2,67,Usaquén,390000000
Apartamento,3,2,63,Cedritos,290000000
Casa,3,3,106,Boyaca ,310000000
Apartamento,3,2,74,Zona Noroccidental,278000000
Apartamento,3,3,74,Usaquén,330000000
Apartamento,4,3,90,Teusaquillo,490000000
Apartamento,3,2,54,Engativa,249000000
Casa,4,1,63,Kennedy,180000000
Apartamento,1,2,54,Santa Fe,370000000
Apartamento,3,1,53,Bosa,134000000
Casa,7,3,210,Timiza,450000000
Apartamento,1,1,49,Chapinero,340000000
Apartamento,3,2,49,Bosa,144000000
Apartamento,2,1,52,Kennedy,120000000
Apartamento,2,2,43,Kennedy,131000000
Apartamento,3,1,47,Kennedy,138000000
Apartamento,3,2,87,Kennedy,357000000
Apartamento,3,2,77,Kennedy,316000000
Apartamento,3,1,57,Kennedy,162000000
Apartamento,3,2,52,Kennedy,155000000
Apartamento,2,1,51,Teusaquillo,290000000
Apartamento,1,1,70,Ciudad Salitre,474000000
Apartamento,3,2,68,Kennedy,295000000
Apartamento,3,1,48,Bosa,127000000
Apartamento,3,2,77,Kennedy,390000000
Apartamento,3,1,47,Bogotá DC,262000000
Apartamento,2,1,43,Bogotá DC,117000000
Apartamento,2,3,190,Gran America,1200000000
Casa,3,3,230,Barrios Unidos,990000000
Apartamento,2,2,65,Bella Suiza,383045000
Apartamento,2,2,53,Santa Barbara,371000000
Apartamento,2,2,89,Cedritos,516500000
Apartamento,3,3,132,Zona Noroccidental,750000000
Casa,3,2,70,Santa Barbara,282000000
Apartamento,2,2,57,Chico Norte,371000000
Apartamento,2,1,45,Bosa,110000000
